Fatt. n°/Vs. Orc	Cliente	Kg	Ordine < 500 (non compilare se in C/L)	Lav	Tipologia Materiale	Materiale Euro di riferimento	Materiale+Lav con commissione	Vendita	Aliquota variabile	Commissione con aliquota Variabile	1,5% fissa	3% Fissa	8% Fissa	Totale Fisso	delta	Totale provv variabile	TOTALE FATTURA	Data Consegna	 € 18.539,86 	 € 62.281,55 			
2504414/25008108	Alstom	971,00		 € 0,660 	Rame	 € 9,1610 	 € 9,8210 	 € 9,8200 	5,00%	 € 0,4910 	 € 0,1473 	 € -     	 € -     	 € 143,0427 	 € -     	 € -     	 € 143,0427 					0	0
2504414/25008134	Alstom	2.222,00		 € 0,660 	Rame	 € 9,1610 	 € 9,8210 	 € 9,8200 	5,00%	 € 0,4910 	 € 0,1473 	 € -     	 € -     	 € 327,3336 	 € -     	 € -     	 € 327,3336 					0	0
2504412/25008083	Rema	5.711,00		 € 0,700 	Rame	 € 9,0980 	 € 9,7980 	 € 9,7980 	5,00%	 € 0,4899 	 € 0,1470 	 € -     	 € -     	 € 839,3492 	 € -     	 € -     	 € 839,3492 		OK			0	0
2504412/25008083	Rema	5.967,00		 € 0,700 	Rame	 € 9,0980 	 € 9,7980 	 € 9,7980 	5,00%	 € 0,4899 	 € 0,1470 	 € -     	 € -     	 € 876,9737 	 € -     	 € -     	 € 876,9737 		OK			0	0
2504412/25008083	Rema	2.204,00		 € 0,700 	Rame	 € 9,0980 	 € 9,7980 	 € 9,7980 	5,00%	 € 0,4899 	 € 0,1470 	 € -     	 € -     	 € 323,9233 	 € -     	 € -     	 € 323,9233 		OK			0	0
2504496	Cabur	3.300,00		 € 0,800 	Rame	 € 9,8689 	 € 10,6689 	 € 10,6689 	5,00%	 € 0,5334 	 € 0,1600 	 € -     	 € -     	 € 528,1123 	 € -     	 € -     	 € 528,1123 	06/11/2025				11	2025
2504497	Cabur	1.750,00		 € 0,780 	Rame	 € 9,8689 	 € 10,6489 	 € 10,6489 	5,00%	 € 0,5324 	 € 0,1597 	 € -     	 € -     	 € 279,5345 	 € -     	 € -     	 € 279,5345 		OK			0	0
2504497	Cabur	4.300,00		 € 0,780 	Rame	 € 8,9916 	 € 9,7716 	 € 9,7716 	5,00%	 € 0,4886 	 € 0,1466 	 € -     	 € -     	 € 630,2701 	 € -     	 € -     	 € 630,2701 	05/12/2025				12	2025
2504545	Ansaldo	3.800,00		 € 3,260 	Rame	 € 8,9436 	 € 12,2036 	 € 12,6450 	4,00%	 € 0,4881 	 € -     	 € -     	 € 0,2608 	 € 991,0400 	 € 0,4410 	 € 670,3200 	 € 1.661,3600 	12/12/2025				12	2025
2504545	Ansaldo	14.000,00		 € 3,260 	Rame	 € 8,9436 	 € 12,2036 	 € 12,4150 	4,00%	 € 0,4881 	 € -     	 € -     	 € 0,2608 	 € 3.651,2000 	 € 0,2110 	 € 1.181,6000 	 € 4.832,8000 	12/12/2025				12	2025
2504545	Ansaldo	1.800,00		 € 3,260 	Rame	 € 8,9436 	 € 12,2036 	 € 12,7650 	4,00%	 € 0,4881 	 € -     	 € -     	 € 0,2608 	 € 469,4400 	 € 0,5610 	 € 403,9200 	 € 873,3600 	12/12/2025				12	2025
